file;prover;time;result;
tptp-problems/col-trans/col-trans-0000.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0001.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0002.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0003.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0004.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0005.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0006.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0007.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0008.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0009.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0010.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0011.p; zenon; 107; Proved; 
tptp-problems/col-trans/col-trans-0012.p; zenon; 100; Proved; 
tptp-problems/col-trans/col-trans-0013.p; zenon; 243; Proved; 
tptp-problems/col-trans/col-trans-0014.p; zenon; 93; Proved; 
tptp-problems/col-trans/col-trans-0015.p; zenon; 25; Proved; 
tptp-problems/col-trans/col-trans-0016.p; zenon; 304; Failed; 
tptp-problems/col-trans/col-trans-0017.p; zenon; 310; Failed; 
tptp-problems/col-trans/col-trans-0018.p; zenon; 300; Failed; 
tptp-problems/col-trans/col-trans-0019.p; zenon; 373; Failed; 
tptp-problems/col-trans/col-trans-0020.p; zenon; 433; Failed; 
tptp-problems/col-trans/col-trans-0021.p; zenon; 303; Failed; 
tptp-problems/col-trans/col-trans-0022.p; zenon; 317; Failed; 
tptp-problems/col-trans/col-trans-0023.p; zenon; 329; Failed; 
tptp-problems/col-trans/col-trans-0024.p; zenon; 305; Failed; 
tptp-problems/col-trans/col-trans-0025.p; zenon; 150; Proved; 
tptp-problems/col-trans/col-trans-0026.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0027.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0028.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0029.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0030.p; zenon; 11; Proved; 
tptp-problems/col-trans/col-trans-0031.p; zenon; 316; Failed; 
tptp-problems/col-trans/col-trans-0032.p; zenon; 301; Failed; 
tptp-problems/col-trans/col-trans-0033.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0034.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0035.p; zenon; 25; Proved; 
tptp-problems/col-trans/col-trans-0036.p; zenon; 22; Proved; 
tptp-problems/col-trans/col-trans-0037.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0038.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0039.p; zenon; 18; Proved; 
tptp-problems/col-trans/col-trans-0040.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0041.p; zenon; 26; Proved; 
tptp-problems/col-trans/col-trans-0042.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0043.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0044.p; zenon; 345; Failed; 
tptp-problems/col-trans/col-trans-0045.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0046.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0047.p; zenon; 4; Proved; 
tptp-problems/col-trans/col-trans-0048.p; zenon; 209; Proved; 
tptp-problems/col-trans/col-trans-0049.p; zenon; 302; Failed; 
tptp-problems/col-trans/col-trans-0050.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0051.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0052.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0053.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0054.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0055.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0056.p; zenon; 11; Proved; 
tptp-problems/col-trans/col-trans-0057.p; zenon; 15; Proved; 
tptp-problems/col-trans/col-trans-0058.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0059.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0060.p; zenon; 17; Proved; 
tptp-problems/col-trans/col-trans-0061.p; zenon; 23; Proved; 
tptp-problems/col-trans/col-trans-0062.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0063.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0064.p; zenon; 329; Failed; 
tptp-problems/col-trans/col-trans-0065.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0066.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0067.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0068.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0069.p; zenon; 3; Proved; 
tptp-problems/col-trans/col-trans-0070.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0071.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0072.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0073.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0074.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0075.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0076.p; zenon; 3; Proved; 
tptp-problems/col-trans/col-trans-0077.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0078.p; zenon; 5; Proved; 
tptp-problems/col-trans/col-trans-0079.p; zenon; 4; Proved; 
tptp-problems/col-trans/col-trans-0080.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0081.p; zenon; 134; Proved; 
tptp-problems/col-trans/col-trans-0082.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0083.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0084.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0085.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0086.p; zenon; 3; Proved; 
tptp-problems/col-trans/col-trans-0087.p; zenon; 5; Proved; 
tptp-problems/col-trans/col-trans-0088.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0089.p; zenon; 2; Proved; 
tptp-problems/col-trans/col-trans-0090.p; zenon; 413; Failed; 
tptp-problems/col-trans/col-trans-0091.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0092.p; zenon; 413; Failed; 
tptp-problems/col-trans/col-trans-0093.p; zenon; 32; Proved; 
tptp-problems/col-trans/col-trans-0094.p; zenon; 70; Proved; 
tptp-problems/col-trans/col-trans-0095.p; zenon; 35; Proved; 
tptp-problems/col-trans/col-trans-0096.p; zenon; 70; Proved; 
tptp-problems/col-trans/col-trans-0097.p; zenon; 37; Proved; 
tptp-problems/col-trans/col-trans-0098.p; zenon; 403; Failed; 
tptp-problems/col-trans/col-trans-0099.p; zenon; 509; Failed; 
tptp-problems/col-trans/col-trans-0100.p; zenon; 25; Proved; 
tptp-problems/col-trans/col-trans-0101.p; zenon; 323; Failed; 
tptp-problems/col-trans/col-trans-0102.p; zenon; 12; Proved; 
tptp-problems/col-trans/col-trans-0103.p; zenon; 28; Proved; 
tptp-problems/col-trans/col-trans-0104.p; zenon; 301; Failed; 
tptp-problems/col-trans/col-trans-0105.p; zenon; 3; Proved; 
tptp-problems/col-trans/col-trans-0106.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0107.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0108.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0109.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0110.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0111.p; zenon; 1; Proved; 
tptp-problems/col-trans/col-trans-0112.p; zenon; 0; Proved; 
tptp-problems/col-trans/col-trans-0113.p; zenon; 0; Proved; 
